user,thr
10,1.67630202659499
20,3.32734409243574
30,4.81030205364857
40,6.23781893179356
50,7.98667231490358
60,9.62887300878539
70,11.1849064960454
80,12.6800476753592
90,14.4005282914751
100,15.6354654788978
110,17.265107584046
120,19.0581629833144
130,20.3870477917486
140,22.3882683252087
150,23.8134450113082
160,25.3764215862489
170,26.3019016725793
180,28.3435439709517
190,29.8912567675789
200,31.8941613316579
210,33.6162372884468
220,34.7916247082261
230,36.3589441822201
240,38.1699423524267
250,39.7382927260099
260,40.5077586720932
270,42.4073400357971
280,44.6185616491433
290,45.2089694732699
300,48.1450052268362
310,48.571896248833
320,49.6039373941275
330,51.7406455820126
340,53.8685085697723
350,53.6946971012674
360,55.6106174980285
370,58.7299399962427
380,58.90964850241
390,61.6306907711532
400,61.3076954879
410,63.6048679123841
420,65.6085616410798
430,66.3804887926808
440,68.9997372195405
450,69.4931423113707
460,71.1193558771036
470,71.6517615982229
480,74.2513700984757
490,73.5869731101221
500,74.7163587323753
510,75.7937086037374
520,74.8192563125699
530,76.4754222606827
540,76.1585738279746
550,76.2683691787247
560,75.5584599367018
570,77.7335274379281
580,78.4701731789715
590,74.351322910495
600,77.1264449180183
610,77.631591564423
620,76.5101453691131
630,77.5440445953429
640,78.0666916672393
650,78.5755685719869
660,78.2362655805694
670,77.3554326896442
680,77.0724028143954
690,76.5474521396029
