user,wait
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
110,0
120,0
130,0
140,0
150,0
160,0
170,0
180,0
190,5.09171733916135E-06
200,1.10327788200934E-05
210,2.6272621850215E-06
220,3.96749972831701E-05
230,1.39797436495848E-05
240,2.13819299165463E-05
250,9.96583489699651E-05
260,7.51082401844538E-05
270,0.000186221700903
280,0.000270531242077
290,0.000820816759075
300,0.000430878219999
310,0.00060740429708
320,0.00093849791927
330,0.001413649424519
340,0.001595340691845
350,0.002599136806828
360,0.003449211222315
370,0.004349019415312
380,0.00553431601351
390,0.010183062564008
400,0.009275808567989
410,0.011651619134824
420,0.021716158809515
430,0.026908374606475
440,0.029634332390976
450,0.048549717911448
460,0.060670838347622
470,0.0743560064175
480,0.120694949282151
490,0.20911980503906
500,0.230899843040399
510,0.325518809871992
520,0.336397428758191
530,0.37422930162729
540,0.36740812938093
550,0.245572075438953
560,0.140306515820614
570,0.004962273700692
580,0.012106986758131
590,0.004682822737961
600,0.004901530074424
610,0.006157987824315
620,0.007118299634838
630,0.001426948576468
640,0.007911181114901
650,0.003461484177904
660,0.002732221492185
670,0.003997557917383
680,0.001676258875327
690,0.003103653991908
700,0.002112074849358
710,0.002030869326606
720,0.002244701577926
730,0.002109104256148
740,0.00151188455376
750,0.001931710212624
760,0.002392466510974
770,0.001515089593347
780,0.002072625692396
790,0.001945612005707
800,0.001374332143955
810,0.00154500401472
820,0.001039254891288
830,0.000761831541324
840,0.001581848339641
850,0.001593018452715
860,0.001365341160542
870,0.001380181274357
880,0.001423621324312
890,0.001375800203768
900,0.00173068012372
910,0.001322961293173
920,0.001372373281695
930,0.001088066929381
940,0.001191881725444
950,0.00094245668216
960,0.001284905562976
970,0.000702902699823
980,0.001161520719884
990,0.000952146551805
